6-1-2022 0:17:38, Command : help, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:17:51, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:18:13, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:20:27, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:20:47, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:31:55, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:32:55, Command : adminlist, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:33:8, Command : adminlist, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 0:33:30, Command : getcommandlogs, channel : admin User : kilarn123, UserID : 297855909592563723
6-1-2022 0:35:56, Command : getcommandlogs, channel : admin User : kilarn123, UserID : 297855909592563723
6-1-2022 0:36:31, Command : getcommandlogs, channel : admin User : Dercraker, UserID : 152125692618735616
6-1-2022 0:42:46, Command : getcommandlogs, channel : admin User : Dercraker, UserID : 152125692618735616
6-1-2022 0:47:7, Command : getcommandlogs, channel : admin User : Dercraker, UserID : 152125692618735616
6-1-2022 0:47:17, Command : getcommandlogs, channel : admin User : Dercraker, UserID : 152125692618735616
6-1-2022 1:6:24, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:7:50, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:13:25, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:13:54, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:15:7, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:15:39, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:15:52, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:16:13, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:17:27, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:17:49, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:18:32, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:19:10, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:19:36, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:24:22, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
6-1-2022 1:33:54, Command : getcommandlogs, channel : log-bot User : Dercraker, UserID : 152125692618735616
