14-08-2022 11:54:59, Command : sendmessage, Option Name : messageid, value : 1007987861884243978, Option Name : channel, value : 1001952449252298792, channel : 🤖-𝑩𝒐𝒕-𝒔𝒕𝒂𝒇𝒇 User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 11:57:57, Command : sendmessage, Option Name : messageid, value : 1007987861884243978, Option Name : channel, value : 1001952449252298792, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 11:58:32, Command : sendmessage, Option Name : messageid, value : 1007987861884243978, Option Name : channel, value : 1001952449252298792, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 12:39:57, Command : ping, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 12:59:32, Command : help, channel : 📜-🤖-𝑳𝒐𝒈-𝒃𝒐𝒕 User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:15:06, Command : sendmessage, Option Name : channel-to-sendmessage, value : 1001952449252298792, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:29:18, Command : sendmessage, Option Name : from-channel, value : 1001952449252298792, Option Name : message-id, value : 1008325921947787264, Option Name : to-channel, value : 1001952452137979904, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:29:41, Command : sendmessage, Option Name : from-channel, value : 1001952449252298792, Option Name : message-id, value : 1008025517338923095, Option Name : to-channel, value : 1001952452137979904, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:33:13, Command : sendmessage, Option Name : from-channel, value : 1001952449252298792, Option Name : message-id, value : 1008025517338923095, Option Name : to-channel, value : 1001952452137979904, channel : 🤖-bot-staff User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:35:02, Command : sendmessage, Option Name : from-channel, value : 1004884997867569223, Option Name : message-id, value : 1004889794226171987, Option Name : to-channel, value : 1001952449252298792, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:35:46, Command : sendmessage, Option Name : from-channel, value : 1004884997867569223, Option Name : message-id, value : 1004889794226171987, Option Name : to-channel, value : 1001952449252298792, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:36:27, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1004721105870786680, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:38:57, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008338858041155606, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:39:36, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008338858041155606, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:39:48, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008338824805494805, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:40:18, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008339229635522560, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:41:11, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008339229635522560, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
14-08-2022 13:41:40, Command : sendmessage, Option Name : from-channel, value : 1001952452137979904, Option Name : message-id, value : 1008339229635522560, Option Name : to-channel, value : 1001952452137979904, channel : 📜-🤖-log-bot User : JeanJack Goldman, UserID : 152125692618735616
